Date,Open,High,Low,Close,Volume
2021-11-12,3485.0,3540.7262,3447.05,3525.15,2689434
2021-11-11,3513.0,3543.24,3467.47,3472.5,2264406
2021-11-10,3563.87,3605.45,3463.09,3482.05,4027422
2021-11-09,3515.25,3593.77,3501.425,3576.23,4294922
2021-11-08,3523.24,3579.0,3487.86,3488.98,3073992
2021-11-05,3477.0,3566.25,3476.98,3518.99,4996951
2021-11-04,3370.0,3498.625,3365.0001,3477.0,5353020
2021-11-03,3309.0,3394.92,3297.52,3384.0,3397189
2021-11-02,3315.01,3331.115,3283.55,3312.75,2627590
2021-11-01,3361.8,3375.86,3292.02,3318.11,3608879
2021-10-29,3300.02,3374.82,3273.32,3372.43,6486077
2021-10-28,3402.095,3479.0,3386.0,3446.57,5708733
2021-10-27,3388.0,3437.0,3371.4534,3392.49,2702224
2021-10-26,3349.51,3416.12,3343.98,3376.07,2698342
2021-10-25,3335.0,3347.7997,3297.7,3320.37,2225956
2021-10-22,3421.0,3429.84,3331.3,3335.55,3139053
2021-10-21,3414.25,3440.28,3403.0,3435.01,1881385
2021-10-20,3452.66,3462.86,3400.37,3415.06,2139777
2021-10-19,3434.29,3454.69,3422.0,3444.15,2386079
2021-10-18,3388.3576,3449.17,3385.1,3446.74,3174115
2021-10-15,3311.42,3410.42,3304.0,3409.02,5179941
2021-10-14,3302.4541,3312.6,3290.78,3299.86,2112020
2021-10-13,3269.71,3288.38,3261.0889,3284.28,2425086
2021-10-12,3257.0,3267.528,3236.28,3247.33,1819571
2021-10-11,3275.0,3292.5899,3238.1,3246.3,2034203
2021-10-08,3317.0,3321.43,3288.2,3288.62,1998217
2021-10-07,3291.54,3325.746,3283.06,3302.43,2409075
2021-10-06,3213.53,3264.34,3198.62,3262.01,2532977
2021-10-05,3204.5,3260.73,3202.464,3221.0,3269208
2021-10-04,3279.39,3279.99,3176.25,3189.78,4523057
2021-10-01,3289.01,3309.1746,3255.94,3283.26,2835617
2021-09-30,3316.0,3327.85,3273.99,3285.04,2847033
2021-09-29,3322.11,3351.3,3297.87,3301.12,2562268
2021-09-28,3357.71,3369.19,3290.1001,3315.96,4430819
2021-09-27,3371.5,3415.57,3339.61,3405.8,3634450
2021-09-24,3402.01,3429.26,3393.4,3425.52,2116241
2021-09-23,3380.05,3428.96,3380.05,3416.0,2379414
2021-09-22,3351.0,3389.0,3341.05,3380.05,2411403
2021-09-21,3375.0,3379.7,3332.39,3343.63,2780878
2021-09-20,3396.0,3419.0,3305.01,3355.73,4669130
2021-09-17,3488.4146,3497.41,3452.13,3462.52,4616556
2021-09-16,3459.96,3492.55,3446.1432,3488.24,2583598
2021-09-15,3442.52,3485.42,3402.01,3475.79,2957537
2021-09-14,3475.55,3486.806,3437.7104,3450.0,1936897
2021-09-13,3482.8,3497.96,3438.0001,3457.17,2569022
2021-09-10,3501.8308,3508.45,3462.9055,3469.15,2397269
2021-09-09,3526.02,3549.99,3480.37,3484.16,2719241
2021-09-08,3511.65,3545.63,3495.67,3525.5,3053364
2021-09-07,3478.0,3528.09,3476.94,3509.29,2741184
2021-09-03,3452.0,3482.67,3436.44,3478.05,2578324
2021-09-02,3494.76,3511.9608,3455.0,3463.12,2925594
2021-09-01,3496.396,3527.0,3475.24,3479.0,3629911
2021-08-31,3424.8,3472.58,3395.59,3470.79,4356413
2021-08-30,3357.425,3445.0,3355.22,3421.57,3192244
2021-08-27,3333.23,3352.32,3313.75,3349.63,2402369
2021-08-26,3299.0,3332.0,3296.0,3316.0,2098761
2021-08-25,3309.87,3321.0,3286.15,3299.18,1680306
2021-08-24,3280.0,3315.4942,3274.58,3305.78,2551841
2021-08-23,3211.9,3280.9,3210.005,3265.87,3268131
2021-08-20,3203.8725,3207.81,3175.76,3199.95,3358428
2021-08-19,3194.02,3233.0,3182.4637,3187.75,3782862
2021-08-18,3241.99,3254.0975,3200.0,3201.22,2804311
2021-08-17,3277.5,3280.49,3225.68,3241.96,3387922
2021-08-16,3283.0,3300.0,3211.13,3298.99,3328494
2021-08-13,3305.67,3306.065,3283.0,3293.97,2056699
2021-08-12,3290.0,3314.51,3269.67,3303.5,2323823
2021-08-11,3331.4469,3337.7,3277.79,3292.11,2947249
2021-08-10,3345.01,3358.0,3315.0,3320.68,2412551
2021-08-09,3343.61,3354.88,3328.52,3341.87,2148220
2021-08-06,3375.0,3375.0,3329.0373,3344.94,2637644
2021-08-05,3356.22,3389.0,3340.92,3375.99,2433503
2021-08-04,3379.35,3388.88,3345.56,3354.72,2183945
2021-08-03,3340.72,3391.0,3299.77,3366.24,4157343
2021-08-02,3353.1,3358.92,3317.0,3331.48,3353915
